NPI,Avg_Login_Hour,Total_Surveys
1000000000,6.0,3
1000000001,12.0,5
1000000002,15.0,8
1000000003,14.0,9
1000000004,15.0,0
1000000005,11.0,10
1000000006,11.0,6
1000000007,16.0,6
1000000008,18.0,8
1000000009,13.0,10
1000000010,15.0,1
1000000011,12.0,10
1000000012,14.0,5
1000000013,12.0,10
1000000014,13.0,2
1000000015,11.0,2
1000000016,11.0,9
1000000017,20.0,8
1000000018,12.0,5
1000000019,12.0,0
1000000020,14.0,4
1000000021,19.0,0
1000000022,13.0,7
1000000023,6.0,4
1000000024,19.0,7
1000000025,11.0,1
1000000026,16.0,7
1000000027,10.0,1
1000000028,15.0,9
1000000029,6.0,7
1000000030,13.0,2
1000000031,20.0,10
1000000032,13.0,3
1000000033,9.0,3
1000000034,14.0,7
1000000035,18.0,5
1000000036,19.0,1
1000000037,13.0,9
1000000038,16.0,2
1000000039,8.0,7
1000000040,14.0,10
1000000041,15.0,6
1000000042,6.0,6
1000000043,10.0,1
1000000044,10.0,9
1000000045,10.0,1
1000000046,8.0,0
1000000047,9.0,6
1000000048,20.0,9
1000000049,17.0,9
1000000050,7.0,8
1000000051,19.0,5
1000000052,9.0,4
1000000053,20.0,0
1000000054,19.0,0
1000000055,12.0,3
1000000056,10.0,6
1000000057,9.0,5
1000000058,19.0,3
1000000059,9.0,6
1000000060,17.0,6
1000000061,19.0,6
1000000062,7.0,6
1000000063,12.0,7
1000000064,17.0,0
1000000065,12.0,1
1000000066,20.0,8
1000000067,9.0,8
1000000068,12.0,0
1000000069,19.0,7
1000000070,13.0,8
1000000071,8.0,3
1000000072,20.0,7
1000000073,6.0,1
1000000074,6.0,7
1000000075,6.0,9
1000000076,10.0,10
1000000077,14.0,8
1000000078,18.0,5
1000000079,14.0,1
1000000080,19.0,5
1000000081,9.0,6
1000000082,17.0,8
1000000083,15.0,8
1000000084,12.0,6
1000000085,14.0,9
1000000086,13.0,5
1000000087,7.0,6
1000000088,16.0,4
1000000089,16.0,9
1000000090,6.0,6
1000000091,15.0,1
1000000092,14.0,4
1000000093,6.0,3
1000000094,9.0,9
1000000095,20.0,9
1000000096,18.0,9
1000000097,19.0,0
1000000098,13.0,1
1000000099,7.0,1
1000000100,18.0,0
1000000101,9.0,7
1000000102,15.0,4
1000000103,10.0,2
1000000104,15.0,9
1000000105,12.0,10
1000000106,9.0,9
1000000107,11.0,9
1000000108,15.0,7
1000000109,13.0,8
1000000110,16.0,6
1000000111,7.0,0
1000000112,7.0,2
1000000113,19.0,8
1000000114,19.0,0
1000000115,6.0,6
1000000116,12.0,6
1000000117,20.0,5
1000000118,9.0,8
1000000119,9.0,8
1000000120,10.0,8
1000000121,17.0,1
1000000122,12.0,1
1000000123,6.0,9
1000000124,9.0,8
1000000125,9.0,10
1000000126,18.0,8
1000000127,18.0,9
1000000128,7.0,2
1000000129,18.0,9
1000000130,10.0,10
1000000131,9.0,6
1000000132,20.0,6
1000000133,7.0,6
1000000134,7.0,9
1000000135,8.0,5
1000000136,17.0,10
1000000137,8.0,7
1000000138,7.0,0
1000000139,8.0,2
1000000140,19.0,8
1000000141,14.0,6
1000000142,7.0,4
1000000143,13.0,9
1000000144,7.0,1
1000000145,20.0,8
1000000146,8.0,9
1000000147,11.0,3
1000000148,20.0,10
1000000149,17.0,4
1000000150,18.0,8
1000000151,7.0,5
1000000152,11.0,6
1000000153,18.0,1
1000000154,8.0,1
1000000155,14.0,1
1000000156,10.0,10
1000000157,9.0,5
1000000158,10.0,0
1000000159,12.0,2
1000000160,17.0,2
1000000161,7.0,5
1000000162,13.0,9
1000000163,16.0,8
1000000164,17.0,6
1000000165,20.0,0
1000000166,9.0,4
1000000167,13.0,3
1000000168,15.0,6
1000000169,18.0,0
1000000170,6.0,7
1000000171,6.0,0
1000000172,9.0,8
1000000173,15.0,9
1000000174,17.0,1
1000000175,8.0,1
1000000176,15.0,6
1000000177,6.0,5
1000000178,6.0,5
1000000179,12.0,3
1000000180,8.0,9
1000000181,7.0,1
1000000182,8.0,7
1000000183,13.0,6
1000000184,12.0,9
1000000185,12.0,2
1000000186,9.0,8
1000000187,12.0,8
1000000188,8.0,5
1000000189,12.0,6
1000000190,18.0,0
1000000191,18.0,9
1000000192,13.0,10
1000000193,13.0,6
1000000194,8.0,7
1000000195,8.0,3
1000000196,17.0,1
1000000197,9.0,7
1000000198,20.0,1
1000000199,15.0,0
1000000200,6.0,1
1000000201,15.0,3
1000000202,17.0,8
1000000203,11.0,5
1000000204,13.0,10
1000000205,14.0,1
1000000206,18.0,6
1000000207,14.0,8
1000000208,15.0,10
1000000209,7.0,10
1000000210,11.0,3
1000000211,11.0,0
1000000212,17.0,6
1000000213,17.0,0
1000000214,8.0,3
1000000215,16.0,7
1000000216,6.0,6
1000000217,20.0,3
1000000218,12.0,6
1000000219,19.0,7
1000000220,12.0,4
1000000221,16.0,10
1000000222,16.0,8
1000000223,8.0,4
1000000224,7.0,0
1000000225,12.0,7
1000000226,15.0,8
1000000227,9.0,4
1000000228,10.0,6
1000000229,6.0,3
1000000230,6.0,9
1000000231,14.0,3
1000000232,9.0,0
1000000233,10.0,0
1000000234,9.0,10
1000000235,20.0,4
1000000236,18.0,9
1000000237,15.0,9
1000000238,8.0,7
1000000239,10.0,4
1000000240,19.0,7
1000000241,16.0,0
1000000242,20.0,3
1000000243,7.0,0
1000000244,12.0,6
1000000245,15.0,2
1000000246,17.0,3
1000000247,12.0,0
1000000248,17.0,6
1000000249,14.0,8
1000000250,7.0,9
1000000251,20.0,4
1000000252,19.0,6
1000000253,14.0,3
1000000254,10.0,4
1000000255,14.0,5
1000000256,17.0,2
1000000257,15.0,9
1000000258,8.0,6
1000000259,8.0,3
1000000260,15.0,4
1000000261,12.0,5
1000000262,7.0,6
1000000263,17.0,7
1000000264,14.0,3
1000000265,17.0,6
1000000266,11.0,7
1000000267,7.0,7
1000000268,11.0,4
1000000269,12.0,3
1000000270,8.0,2
1000000271,16.0,3
1000000272,13.0,9
1000000273,9.0,7
1000000274,16.0,7
1000000275,6.0,10
1000000276,9.0,4
1000000277,11.0,6
1000000278,18.0,1
1000000279,13.0,4
1000000280,12.0,5
1000000281,20.0,7
1000000282,6.0,2
1000000283,9.0,8
1000000284,7.0,8
1000000285,20.0,7
1000000286,6.0,9
1000000287,18.0,9
1000000288,11.0,10
1000000289,13.0,6
1000000290,11.0,9
1000000291,12.0,5
1000000292,19.0,5
1000000293,16.0,0
1000000294,6.0,2
1000000295,6.0,10
1000000296,10.0,3
1000000297,13.0,3
1000000298,14.0,9
1000000299,12.0,4
1000000300,13.0,6
1000000301,8.0,0
1000000302,6.0,7
1000000303,16.0,3
1000000304,7.0,5
1000000305,20.0,1
1000000306,15.0,1
1000000307,14.0,1
1000000308,20.0,1
1000000309,17.0,0
1000000310,7.0,5
1000000311,12.0,7
1000000312,14.0,4
1000000313,6.0,8
1000000314,16.0,4
1000000315,19.0,0
1000000316,18.0,6
1000000317,18.0,10
1000000318,12.0,1
1000000319,16.0,8
1000000320,15.0,1
1000000321,17.0,0
1000000322,6.0,1
1000000323,9.0,3
1000000324,10.0,2
1000000325,15.0,8
1000000326,14.0,9
1000000327,15.0,8
1000000328,14.0,0
1000000329,10.0,3
1000000330,13.0,3
1000000331,9.0,5
1000000332,6.0,10
1000000333,8.0,7
1000000334,8.0,9
1000000335,15.0,8
1000000336,10.0,6
1000000337,7.0,2
1000000338,6.0,4
1000000339,17.0,5
1000000340,15.0,2
1000000341,12.0,1
1000000342,13.0,2
1000000343,12.0,9
1000000344,13.0,1
1000000345,7.0,10
1000000346,20.0,6
1000000347,7.0,0
1000000348,8.0,4
1000000349,13.0,1
1000000350,6.0,2
1000000351,11.0,7
1000000352,9.0,5
1000000353,8.0,2
1000000354,10.0,10
1000000355,13.0,2
1000000356,19.0,8
1000000357,18.0,0
1000000358,13.0,4
1000000359,16.0,2
1000000360,10.0,9
1000000361,13.0,4
1000000362,16.0,4
1000000363,7.0,5
1000000364,7.0,9
1000000365,6.0,5
1000000366,7.0,10
1000000367,10.0,2
1000000368,16.0,10
1000000369,6.0,4
1000000370,18.0,7
1000000371,7.0,5
1000000372,11.0,5
1000000373,15.0,3
1000000374,20.0,0
1000000375,16.0,8
1000000376,13.0,3
1000000377,6.0,8
1000000378,9.0,8
1000000379,19.0,3
1000000380,15.0,8
1000000381,20.0,3
1000000382,12.0,7
1000000383,12.0,8
1000000384,20.0,7
1000000385,11.0,6
1000000386,18.0,9
1000000387,13.0,4
1000000388,20.0,8
1000000389,12.0,1
1000000390,17.0,5
1000000391,11.0,3
1000000392,7.0,0
1000000393,15.0,1
1000000394,11.0,5
1000000395,17.0,5
1000000396,8.0,4
1000000397,15.0,8
1000000398,9.0,9
1000000399,9.0,2
1000000400,20.0,9
1000000401,10.0,1
1000000402,17.0,10
1000000403,13.0,5
1000000404,19.0,7
1000000405,18.0,1
1000000406,17.0,3
1000000407,15.0,8
1000000408,11.0,5
1000000409,15.0,9
1000000410,9.0,10
1000000411,17.0,4
1000000412,15.0,5
1000000413,9.0,5
1000000414,14.0,2
1000000415,6.0,7
1000000416,8.0,9
1000000417,11.0,7
1000000418,19.0,1
1000000419,20.0,6
1000000420,9.0,6
1000000421,13.0,1
1000000422,18.0,3
1000000423,11.0,5
1000000424,6.0,1
1000000425,11.0,3
1000000426,12.0,4
1000000427,20.0,6
1000000428,10.0,3
1000000429,9.0,3
1000000430,8.0,4
1000000431,6.0,4
1000000432,20.0,3
1000000433,7.0,7
1000000434,7.0,3
1000000435,17.0,8
1000000436,8.0,6
1000000437,16.0,10
1000000438,12.0,9
1000000439,13.0,2
1000000440,7.0,5
1000000441,13.0,7
1000000442,11.0,6
1000000443,12.0,0
1000000444,17.0,8
1000000445,20.0,8
1000000446,17.0,5
1000000447,13.0,2
1000000448,13.0,6
1000000449,10.0,7
1000000450,15.0,3
1000000451,13.0,9
1000000452,15.0,3
1000000453,16.0,3
1000000454,7.0,2
1000000455,7.0,10
1000000456,11.0,0
1000000457,8.0,8
1000000458,8.0,6
1000000459,19.0,2
1000000460,6.0,1
1000000461,9.0,1
1000000462,8.0,0
1000000463,15.0,5
1000000464,13.0,8
1000000465,16.0,2
1000000466,13.0,10
1000000467,10.0,5
1000000468,9.0,9
1000000469,10.0,0
1000000470,6.0,5
1000000471,16.0,6
1000000472,20.0,10
1000000473,8.0,3
1000000474,6.0,7
1000000475,18.0,8
1000000476,10.0,8
1000000477,6.0,5
1000000478,17.0,10
1000000479,11.0,0
1000000480,11.0,10
1000000481,8.0,8
1000000482,13.0,2
1000000483,13.0,5
1000000484,15.0,6
1000000485,17.0,9
1000000486,10.0,7
1000000487,7.0,4
1000000488,11.0,2
1000000489,14.0,6
1000000490,12.0,1
1000000491,15.0,1
1000000492,18.0,8
1000000493,13.0,2
1000000494,14.0,3
1000000495,13.0,6
1000000496,11.0,7
1000000497,8.0,3
1000000498,19.0,2
1000000499,20.0,10
1000000500,19.0,9
1000000501,20.0,2
1000000502,15.0,10
1000000503,6.0,6
1000000504,12.0,5
1000000505,19.0,3
1000000506,6.0,5
1000000507,19.0,2
1000000508,19.0,8
1000000509,11.0,4
1000000510,9.0,7
1000000511,20.0,3
1000000512,9.0,3
1000000513,14.0,0
1000000514,18.0,7
1000000515,9.0,2
1000000516,18.0,5
1000000517,12.0,10
1000000518,20.0,3
1000000519,11.0,0
1000000520,15.0,2
1000000521,9.0,1
1000000522,10.0,5
1000000523,10.0,7
1000000524,20.0,2
1000000525,16.0,7
1000000526,17.0,5
1000000527,7.0,3
1000000528,16.0,8
1000000529,18.0,4
1000000530,11.0,2
1000000531,6.0,5
1000000532,15.0,8
1000000533,11.0,0
1000000534,14.0,6
1000000535,12.0,5
1000000536,15.0,4
1000000537,16.0,8
1000000538,11.0,4
1000000539,9.0,7
1000000540,18.0,0
1000000541,12.0,4
1000000542,12.0,4
1000000543,17.0,6
1000000544,19.0,1
1000000545,13.0,1
1000000546,11.0,10
1000000547,18.0,0
1000000548,20.0,8
1000000549,12.0,3
1000000550,9.0,2
1000000551,20.0,2
1000000552,20.0,10
1000000553,19.0,2
1000000554,16.0,1
1000000555,6.0,3
1000000556,15.0,1
1000000557,8.0,1
1000000558,20.0,9
1000000559,6.0,9
1000000560,17.0,2
1000000561,15.0,5
1000000562,19.0,2
1000000563,6.0,0
1000000564,10.0,6
1000000565,10.0,1
1000000566,20.0,8
1000000567,11.0,4
1000000568,12.0,3
1000000569,19.0,7
1000000570,14.0,1
1000000571,20.0,1
1000000572,9.0,7
1000000573,9.0,3
1000000574,6.0,8
1000000575,14.0,2
1000000576,18.0,2
1000000577,11.0,10
1000000578,10.0,2
1000000579,8.0,8
1000000580,6.0,8
1000000581,13.0,10
1000000582,12.0,2
1000000583,7.0,3
1000000584,18.0,1
1000000585,13.0,1
1000000586,15.0,3
1000000587,19.0,0
1000000588,19.0,10
1000000589,11.0,6
1000000590,11.0,0
1000000591,19.0,2
1000000592,18.0,7
1000000593,14.0,3
1000000594,13.0,4
1000000595,14.0,2
1000000596,14.0,9
1000000597,8.0,7
1000000598,7.0,8
1000000599,6.0,4
1000000600,15.0,4
1000000601,13.0,1
1000000602,20.0,0
1000000603,8.0,9
1000000604,11.0,9
1000000605,12.0,2
1000000606,20.0,2
1000000607,10.0,6
1000000608,14.0,6
1000000609,18.0,3
1000000610,12.0,6
1000000611,9.0,3
1000000612,11.0,5
1000000613,17.0,6
1000000614,9.0,8
1000000615,13.0,4
1000000616,19.0,0
1000000617,6.0,8
1000000618,7.0,4
1000000619,19.0,10
1000000620,16.0,0
1000000621,14.0,0
1000000622,14.0,6
1000000623,14.0,5
1000000624,11.0,2
1000000625,12.0,4
1000000626,16.0,8
1000000627,19.0,7
1000000628,11.0,2
1000000629,8.0,8
1000000630,10.0,3
1000000631,13.0,3
1000000632,12.0,9
1000000633,6.0,5
1000000634,19.0,5
1000000635,10.0,6
1000000636,7.0,9
1000000637,8.0,5
1000000638,7.0,6
1000000639,12.0,10
1000000640,13.0,5
1000000641,6.0,8
1000000642,7.0,1
1000000643,20.0,0
1000000644,19.0,2
1000000645,9.0,5
1000000646,11.0,5
1000000647,13.0,2
1000000648,11.0,10
1000000649,13.0,0
1000000650,19.0,6
1000000651,19.0,7
1000000652,7.0,4
1000000653,20.0,10
1000000654,6.0,10
1000000655,19.0,0
1000000656,7.0,6
1000000657,20.0,8
1000000658,7.0,10
1000000659,20.0,5
1000000660,19.0,8
1000000661,20.0,4
1000000662,8.0,9
1000000663,20.0,10
1000000664,18.0,7
1000000665,19.0,1
1000000666,13.0,1
1000000667,13.0,1
1000000668,8.0,7
1000000669,12.0,10
1000000670,9.0,6
1000000671,9.0,8
1000000672,16.0,2
1000000673,13.0,8
1000000674,19.0,5
1000000675,9.0,2
1000000676,16.0,10
1000000677,20.0,9
1000000678,19.0,10
1000000679,16.0,4
1000000680,14.0,0
1000000681,10.0,6
1000000682,7.0,6
1000000683,17.0,1
1000000684,6.0,2
1000000685,17.0,4
1000000686,18.0,3
1000000687,8.0,0
1000000688,17.0,7
1000000689,8.0,6
1000000690,18.0,7
1000000691,7.0,0
1000000692,15.0,5
1000000693,14.0,5
1000000694,11.0,8
1000000695,16.0,0
1000000696,17.0,9
1000000697,9.0,2
1000000698,12.0,9
1000000699,17.0,6
1000000700,10.0,1
1000000701,18.0,2
1000000702,10.0,9
1000000703,15.0,3
1000000704,12.0,9
1000000705,20.0,0
1000000706,10.0,3
1000000707,17.0,0
1000000708,12.0,5
1000000709,15.0,4
1000000710,13.0,2
1000000711,20.0,2
1000000712,19.0,1
1000000713,18.0,3
1000000714,17.0,6
1000000715,18.0,5
1000000716,16.0,0
1000000717,17.0,2
1000000718,11.0,9
1000000719,9.0,9
1000000720,12.0,4
1000000721,7.0,5
1000000722,8.0,9
1000000723,18.0,4
1000000724,16.0,2
1000000725,8.0,1
1000000726,9.0,5
1000000727,9.0,8
1000000728,6.0,10
1000000729,17.0,5
1000000730,11.0,7
1000000731,17.0,4
1000000732,18.0,3
1000000733,20.0,7
1000000734,20.0,8
1000000735,20.0,1
1000000736,6.0,6
1000000737,10.0,10
1000000738,9.0,8
1000000739,6.0,7
1000000740,16.0,3
1000000741,8.0,4
1000000742,6.0,8
1000000743,18.0,10
1000000744,18.0,3
1000000745,12.0,6
1000000746,20.0,6
1000000747,9.0,5
1000000748,19.0,2
1000000749,7.0,10
1000000750,6.0,0
1000000751,11.0,2
1000000752,14.0,7
1000000753,13.0,2
1000000754,20.0,7
1000000755,6.0,0
1000000756,15.0,8
1000000757,13.0,7
1000000758,19.0,7
1000000759,8.0,2
1000000760,14.0,7
1000000761,13.0,5
1000000762,15.0,7
1000000763,18.0,9
1000000764,16.0,1
1000000765,14.0,0
1000000766,18.0,2
1000000767,19.0,4
1000000768,11.0,1
1000000769,13.0,0
1000000770,13.0,4
1000000771,20.0,3
1000000772,10.0,5
1000000773,15.0,1
1000000774,9.0,5
1000000775,6.0,9
1000000776,13.0,10
1000000777,10.0,5
1000000778,11.0,0
1000000779,9.0,0
1000000780,12.0,7
1000000781,14.0,7
1000000782,12.0,10
1000000783,17.0,4
1000000784,11.0,6
1000000785,6.0,0
1000000786,8.0,8
1000000787,7.0,4
1000000788,15.0,7
1000000789,15.0,7
1000000790,16.0,9
1000000791,7.0,6
1000000792,7.0,0
1000000793,10.0,8
1000000794,7.0,1
1000000795,7.0,8
1000000796,6.0,4
1000000797,8.0,8
1000000798,13.0,8
1000000799,12.0,8
1000000800,6.0,2
1000000801,12.0,5
1000000802,16.0,9
1000000803,16.0,0
1000000804,12.0,8
1000000805,20.0,9
1000000806,13.0,4
1000000807,10.0,2
1000000808,8.0,2
1000000809,12.0,10
1000000810,19.0,10
1000000811,17.0,4
1000000812,20.0,8
1000000813,14.0,2
1000000814,14.0,10
1000000815,20.0,6
1000000816,12.0,7
1000000817,7.0,2
1000000818,6.0,4
1000000819,7.0,0
1000000820,8.0,2
1000000821,8.0,1
1000000822,15.0,9
1000000823,10.0,1
1000000824,17.0,2
1000000825,11.0,0
1000000826,12.0,9
1000000827,16.0,9
1000000828,20.0,0
1000000829,17.0,1
1000000830,11.0,2
1000000831,8.0,2
1000000832,15.0,5
1000000833,15.0,10
1000000834,13.0,5
1000000835,12.0,7
1000000836,7.0,0
1000000837,13.0,9
1000000838,17.0,2
1000000839,20.0,8
1000000840,19.0,5
1000000841,13.0,5
1000000842,16.0,10
1000000843,10.0,7
1000000844,15.0,5
1000000845,13.0,4
1000000846,6.0,9
1000000847,20.0,4
1000000848,13.0,6
1000000849,7.0,7
1000000850,11.0,4
1000000851,16.0,4
1000000852,11.0,9
1000000853,13.0,2
1000000854,12.0,2
1000000855,9.0,2
1000000856,8.0,8
1000000857,19.0,9
1000000858,11.0,6
1000000859,15.0,10
1000000860,15.0,1
1000000861,20.0,6
1000000862,16.0,10
1000000863,10.0,5
1000000864,6.0,7
1000000865,17.0,3
1000000866,6.0,7
1000000867,20.0,8
1000000868,15.0,3
1000000869,19.0,3
1000000870,17.0,2
1000000871,11.0,0
1000000872,15.0,9
1000000873,9.0,10
1000000874,10.0,3
1000000875,14.0,9
1000000876,17.0,1
1000000877,17.0,10
1000000878,19.0,1
1000000879,7.0,5
1000000880,8.0,2
1000000881,13.0,7
1000000882,16.0,10
1000000883,16.0,2
1000000884,15.0,3
1000000885,10.0,4
1000000886,20.0,10
1000000887,15.0,0
1000000888,13.0,7
1000000889,11.0,1
1000000890,14.0,6
1000000891,19.0,5
1000000892,13.0,9
1000000893,13.0,6
1000000894,14.0,4
1000000895,10.0,7
1000000896,6.0,1
1000000897,18.0,1
1000000898,15.0,2
1000000899,7.0,4
1000000900,6.0,7
1000000901,6.0,8
1000000902,9.0,0
1000000903,12.0,3
1000000904,14.0,1
1000000905,11.0,2
1000000906,10.0,5
1000000907,8.0,0
1000000908,6.0,1
1000000909,11.0,3
1000000910,15.0,8
1000000911,18.0,3
1000000912,17.0,4
1000000913,12.0,2
1000000914,13.0,9
1000000915,11.0,5
1000000916,14.0,0
1000000917,7.0,2
1000000918,17.0,7
1000000919,17.0,8
1000000920,12.0,2
1000000921,11.0,10
1000000922,19.0,6
1000000923,7.0,7
1000000924,12.0,8
1000000925,14.0,4
1000000926,6.0,8
1000000927,20.0,3
1000000928,9.0,8
1000000929,15.0,0
1000000930,18.0,6
1000000931,15.0,6
1000000932,10.0,7
1000000933,11.0,1
1000000934,7.0,10
1000000935,14.0,0
1000000936,13.0,5
1000000937,6.0,8
1000000938,13.0,9
1000000939,14.0,9
1000000940,16.0,8
1000000941,18.0,0
1000000942,14.0,2
1000000943,6.0,9
1000000944,17.0,7
1000000945,13.0,5
1000000946,7.0,7
1000000947,7.0,6
1000000948,11.0,2
1000000949,11.0,9
1000000950,18.0,10
1000000951,9.0,10
1000000952,12.0,6
1000000953,10.0,0
1000000954,20.0,5
1000000955,14.0,2
1000000956,10.0,3
1000000957,14.0,6
1000000958,16.0,7
1000000959,9.0,0
1000000960,10.0,0
1000000961,9.0,1
